title,address,price,count_rooms,floor,type_obj,square,publication_date,link,images
"1-комн. квартира, Дубровская 1-я ул, 2Бк1","Москва, Дубровская 1-я ул, 2Бк1",33 000 руб.  в месяц,1,7 / 9,квартира,36 м2,14 апреля,https://irr.ru/real-estate/rent/1-komnatnaya-kvartira-36-kv-m-3-min-peshkom-ot-metro-proletarskaya-advert763826186.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/54/65/5b9eea443-700x525-763826186-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/54/65/2fe68fce4-640x480-763826186-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/54/65/15d98dbd0-536x365-763826186-orig.jpg']"
"1-комн. квартира, Новоясеневский пр-кт, 5к1","Москва, Новоясеневский пр-кт, 5к1",30 000 руб.  в месяц,1,7 / 9,квартира,36 м2,14 апреля,https://irr.ru/real-estate/rent/1-komnatnaya-kvartira-36-kv-m-6-min-peshkom-ot-metro-yasenevo-advert763826249.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/df/01/bc524e4c5-600x393-763826249-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/df/01/5ce24570e-450x600-763826249-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/df/01/d4214d5f2-481x600-763826249-orig.jpg']"
"5-комн. квартира, Красносельская Нижн. ул, 44","Москва, Красносельская Нижн. ул, 44",170 000 руб.  в месяц,5,4 / 9,квартира,90 м2,14 апреля,https://irr.ru/real-estate/rent/5-komnatnaya-kvartira-90-kv-m-7-min-peshkom-ot-metro-baumanskaya-advert763826307.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/ed/0e/d18557070-604x453-763826307-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/ed/0e/78291b0cd-600x422-763826307-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/ed/0e/b7aaf32c6-338x600-763826307-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/ed/0e/85a65b57c-600x450-763826307-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/ed/0e/7ee28cdcb-600x413-763826307-orig.jpg']"
"5-комн. квартира, Красносельская Верхн. ул, 34","Москва, Красносельская Верхн. ул, 34",180 000 руб.  в месяц,5,2 / 8,квартира,110 м2,14 апреля,https://irr.ru/real-estate/rent/5-komnatnaya-kvartira-110-kv-m-2-min-peshkom-ot-metro-krasnoselskaya-advert763826314.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/d5/02/5e6d77d98-450x600-763826314-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/d5/02/7eb4f998c-448x336-763826314-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/d5/02/13aab02c3-722x480-763826314-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/d5/02/7836bb5fd-448x336-763826314-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/d5/02/7a13440c3-480x360-763826314-orig.jpg']"
"2-комн. квартира, Судостроительная ул, 6","Москва, Судостроительная ул, 6",50 000 руб.  в месяц,2,5 / 9,квартира,45 м2,14 апреля,https://irr.ru/real-estate/rent/2-komnatnaya-kvartira-45-kv-m-7-min-peshkom-ot-metro-kolomenskaya-advert763826220.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/59/27/f3045ec88-450x600-763826220-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/59/27/8d559e61e-600x450-763826220-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/59/27/1dc5af7fb-800x600-763826220-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/59/27/6038b357a-604x379-763826220-orig.jpg']"
"1-комн. квартира, Вернадского пр-кт, 9/10","Москва, Вернадского пр-кт, 9/10",42 000 руб.  в месяц,1,3 / 9,квартира,38 м2,14 апреля,https://irr.ru/real-estate/rent/1-komnatnaya-kvartira-38-kv-m-3-min-peshkom-ot-metro-universitet-advert763826345.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/d0/76/da6682149-480x359-763826345-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/d0/76/556f103c0-360x250-763826345-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/d0/76/2739ff870-270x360-763826345-orig.jpg']"
"2-комн. квартира, Автозаводский 2-й проезд, 2","Москва, Автозаводский 2-й проезд, 2",43 000 руб.  в месяц,2,3 / 6,квартира,45 м2,14 апреля,https://irr.ru/real-estate/rent/2-komnatnaya-kvartira-45-kv-m-2-min-peshkom-ot-metro-avtozavodskaya-advert763826388.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/43/05/ee6e16edc-600x450-763826388-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/43/05/1da019b6e-450x600-763826388-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/43/05/50f3c5936-600x413-763826388-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/43/05/e7e1b5c83-600x419-763826388-orig.jpg']"
"1-комн. квартира, Профсоюзная ул, 97","Москва, Профсоюзная ул, 97",35 000 руб.  в месяц,1,5 / 9,квартира,38 м2,14 апреля,https://irr.ru/real-estate/rent/1-komnatnaya-kvartira-38-kv-m-8-min-peshkom-ot-metro-belyaevo-advert763826357.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/ef/01/60b90aca8-635x374-763826357-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/ef/01/1cdac2420-636x376-763826357-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/ef/01/ac5ecb0ab-355x378-763826357-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/ef/01/683f33bf6-633x371-763826357-orig.jpg']"
"3-комн. квартира, Профсоюзная ул, 118к2","Москва, Профсоюзная ул, 118к2",50 000 руб.  в месяц,3,2 / 9,квартира,80 м2,14 апреля,https://irr.ru/real-estate/rent/3-komnatnaya-kvartira-80-kv-m-7-min-peshkom-ot-metro-konkovo-advert763826427.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/9f/64/e9b7bcaae-600x450-763826427-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/9f/64/4e193e288-600x447-763826427-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/9f/64/adbe02f1b-600x419-763826427-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/9f/64/62ee70e75-600x448-763826427-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/9f/64/706634a78-604x453-763826427-orig.jpg']"
"2-комн. квартира, Тверская ул, 9","Москва, Тверская ул, 9",80 000 руб.  в месяц,2,5 / 8,квартира,42 м2,14 апреля,https://irr.ru/real-estate/rent/2-komnatnaya-kvartira-42-kv-m-8-min-peshkom-ot-metro-ohotnyy-ryad-advert763826441.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/4f/70/44a2606b0-380x285-763826441-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/4f/70/ddd37e0d2-640x480-763826441-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/4f/70/449346750-604x453-763826441-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/4f/70/d2f6dfa7d-604x453-763826441-orig.jpg']"
