Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
title;rooms;address;price;floor;square;publication_date;link;images
;;;;;;;;
2-комнатная квартира, 45 м?, 2;2 ;Москва, Юго-Западный, Академический, ул. Ферсмана, 7 ;2 500 руб.  / день;30 %;2;Опубликовано 26 ноября 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6240255289/;[]
;;;;;;;;
1-комнатная квартира, 39 м?, 7/17 эт.;1;Москва, Центральный, Таганский, ул. Марксистская, 5 ;2 800 руб.  / день;7 из 17;39 м?;Опубликовано 13 сентября 2019 г.;https://www.gdeetotdom.ru/obj/living/msk/5901069275/;[]
;;;;;;;;
2-комнатная квартира, 45 м?, 3;3 ;Москва, Южный, Черемушки, ул. Херсонская, 6 ;2 500 руб.  / день;30 %;2;Опубликовано 26 ноября 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6240255229/;[]
;;;;;;;;
1-комнатная квартира, 36 м?, 3/24 эт.;1;Москва, Центральный, Арбат, ул. Новый Арбат, 26 ;3 200 руб.  / день;3 из 24;36 м?;Опубликовано 13 сентября 2019 г.;https://www.gdeetotdom.ru/obj/living/msk/5900603271/;[]
;;;;;;;;
1-комнатная квартира, 35 м?, 1;1 ;Москва, Юго-Западный, Обручевский, ул. Обручева, 49 ;2 000 руб.  / день;40 %;1;Опубликовано 26 ноября 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6240255101/;[]
;;;;;;;;
1-комнатная квартира, 37 м?, 4/5 эт.;4 из 5;Москва, Юго-Западный, Коньково, ул. Введенского, 26 к 3 ;2 000 руб.  / день;30 %;1;Опубликовано 10 апреля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6082916145/;[]
;;;;;;;;
2-комнатная квартира, 45 м?, 11;11 ;Москва, Юго-Западный, Бутово Южное, ул. Скобелевская, 20 ;2 000 руб.  / день;50 %;2;Опубликовано 10 апреля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6240255259/;[]
;;;;;;;;
2-комнатная квартира, 45 м?, 4;4 ;Москва, Южный, Нагорный, ул. Нагорная, 38к1 ;2 500 руб.  / день;40 %;2;Опубликовано 26 ноября 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6240271511/;[]
;;;;;;;;
1-комнатная квартира, 38 м?, 12;1;Москва, Юго-Западный, Обручевский, ул. Архитектора Власова, 39 ;2 000 руб.  / день;12 ;38 м?;Опубликовано 26 ноября 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5861310937/;[]
;;;;;;;;
1-комнатная квартира, 40 м?, 12;1;Москва, Южный, Нагорный, просп. Нахимовский, 27 ;2 500 руб.  / день;12 ;40 м?;Опубликовано 10 апреля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5848574725/;[]
;;;;;;;;
1-комнатная квартира, 38 м?, 6/16 эт.;6 из 16;Москва, Западный, Кунцево, ул. Полоцкая, 25К1 ;1 500 руб.  / день;50 %;1;Опубликовано 26 ноября 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5862349247/;[]
;;;;;;;;
1-комнатная квартира, 40 м?, 11/14 эт.;1;Москва, Юго-Западный, Бутово Южное, ул. Веневская, 1 ;1 900 руб.  / день;11 из 14;40 м?;Опубликовано 10 апреля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5911295717/;[]
;;;;;;;;
2-комнатная квартира, 45 м?, 4;4 ;Москва, Юго-Западный, Коньково, ул. Введенского, 24к2 ;2 500 руб.  / день;30 %;2;Опубликовано 26 ноября 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6240254743/;[]
;;;;;;;;
2-комнатная квартира, 42 м?, 4/9 эт.;4 из 9;Москва, Юго-Западный, Черемушки, ул. Гарибальди, 4к6 ;2 500 руб.  / день;40 %;2;Опубликовано 26 ноября 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6091617117/;[]
;;;;;;;;
1-комнатная квартира, 33 м?, 4/9 эт.;1;Москва, Северный, Хорошевский, ул. Верхняя, 3 ;2 400 руб.  / день;4 из 9;33 м?;Опубликовано 26 января 2021 г.;https://www.gdeetotdom.ru/obj/living/msk/5882041829/;[]
;;;;;;;;
1-комнатная квартира, 42 м?, 1/9 эт.;1;Москва, Центральный, Таганский, ул. Народная, 9 ;2 400 руб.  / день;1 из 9;42 м?;Опубликовано 26 января 2021 г.;https://www.gdeetotdom.ru/obj/living/msk/5900679857/;[]
;;;;;;;;
